1606780800000,3.70440000,3.81280000,3.45010000,3.55430000,453003.61000000,1606867199999,1646953.63585400,12892,210779.46000000,766110.43692400,0
1606867200000,3.55000000,3.84580000,3.50590000,3.74000000,255368.39000000,1606953599999,957259.82532700,8016,131646.71000000,494356.72619000,0
1606953600000,3.73840000,3.89660000,3.71030000,3.81230000,217818.87000000,1607039999999,826292.00677500,6870,115322.64000000,437781.02706100,0
1607040000000,3.80760000,3.86000000,3.50910000,3.53480000,306354.06000000,1607126399999,1127218.75355900,9455,139323.43000000,513416.38261700,0
1607126400000,3.53370000,3.71820000,3.50590000,3.63820000,176697.58000000,1607212799999,643773.56503800,6446,82230.78000000,299659.91533500,0
1607212800000,3.63840000,3.67330000,3.50770000,3.60550000,198916.73000000,1607299199999,712690.46415800,6687,91116.93000000,326877.06336500,0
1607299200000,3.60360000,3.60960000,3.30000000,3.38950000,319608.12000000,1607385599999,1099574.28148200,11476,132801.75000000,457116.87037000,0
1607385600000,3.38960000,3.39480000,3.08500000,3.11720000,947986.45000000,1607471999999,3046976.72763200,27211,398761.63000000,1282461.30829500,0
1607472000000,3.11850000,3.44110000,2.80010000,3.26520000,1491988.40000000,1607558399999,4695416.74056900,40039,744021.16000000,2342287.11685600,0
1607558400000,3.26440000,3.35830000,3.06430000,3.14990000,1121704.58000000,1607644799999,3565572.16802000,30763,556006.11000000,1769505.52796400,0
1607644800000,3.14820000,3.30700000,3.01310000,3.23750000,740274.35000000,1607731199999,2337159.33137000,18198,375021.14000000,1187000.94377000,0
1607731200000,3.23200000,3.45000000,3.23180000,3.33320000,695480.54000000,1607817599999,2344805.08418400,18346,342484.67000000,1155954.88408700,0
1607817600000,3.34090000,3.41730000,3.28060000,3.34050000,598125.27000000,1607903999999,2004392.17329300,15841,223142.39000000,748612.50615500,0
1607904000000,3.34010000,3.34240000,3.13570000,3.14330000,1041542.84000000,1607990399999,3373687.91354700,23943,512720.23000000,1660539.96212500,0
1607990400000,3.14390000,3.54410000,3.06000000,3.30140000,899508.23000000,1608076799999,2892716.32849400,16415,508637.16000000,1641720.00547100,0
1608076800000,3.30120000,3.38440000,3.14510000,3.34090000,660892.42000000,1608163199999,2159766.50723000,13102,309865.96000000,1012100.63792100,0
1608163200000,3.34440000,3.38230000,3.17610000,3.20790000,634136.04000000,1608249599999,2081508.25075400,16032,316164.35000000,1037263.49713900,0
1608249600000,3.20680000,3.47370000,3.14240000,3.40810000,642895.11000000,1608335999999,2155784.99468600,14710,289015.50000000,971626.17224600,0
1608336000000,3.40810000,3.60760000,3.37830000,3.46510000,506114.81000000,1608422399999,1766889.22922900,11814,268843.28000000,938339.91836600,0
1608422400000,3.45800000,3.49800000,3.27550000,3.30400000,415890.15000000,1608508799999,1410347.25904600,10563,178547.58000000,606161.66180600,0
1608508800000,3.30410000,3.35640000,2.92500000,3.08920000,827256.68000000,1608595199999,2612957.51676400,15173,455241.24000000,1445061.63580300,0
1608595200000,3.09220000,3.13310000,2.91980000,3.07610000,488812.87000000,1608681599999,1491311.87434900,12708,240418.22000000,734113.10178400,0
1608681600000,3.07050000,3.69370000,2.75010000,2.94650000,2874448.39000000,1608767999999,9261933.81255100,45448,1438690.93000000,4672678.04470900,0
1608768000000,2.95250000,3.11530000,2.76790000,3.10060000,910977.44000000,1608854399999,2685159.91549900,17310,508763.97000000,1500885.29283500,0
1608854400000,3.11710000,3.13010000,2.84000000,2.95170000,870245.85000000,1608940799999,2616820.76836000,13945,459837.99000000,1385185.77965000,0
1608940800000,2.94970000,2.99750000,2.85000000,2.91780000,475916.53000000,1609027199999,1389240.08446800,9761,243720.06000000,711413.34834600,0
1609027200000,2.92230000,3.07590000,2.84010000,2.90260000,566733.02000000,1609113599999,1671043.03238800,11940,295642.23000000,872446.13799900,0
1609113600000,2.91680000,3.04960000,2.86850000,2.95770000,932674.77000000,1609199999999,2756574.76055400,16135,469657.22000000,1387466.24294900,0
1609200000000,2.96090000,3.01000000,2.83220000,2.92480000,831346.83000000,1609286399999,2414759.35066800,14790,389996.12000000,1133287.34815300,0
1609286400000,2.92500000,2.94000000,2.83270000,2.91620000,443153.20000000,1609372799999,1281341.75020800,8325,228012.77000000,660065.25422300,0
1609372800000,2.91660000,3.29970000,2.78000000,3.18590000,861034.14000000,1609459199999,2566199.28913500,11933,450938.90000000,1351080.02584800,0
