1572566400000,3.26300000,3.29500000,3.16500000,3.25700000,488312.92700000,1572652799999,1571273.40617600,4844,243587.84300000,784701.76274400,0
1572652800000,3.26400000,3.46200000,3.24300000,3.41900000,478995.02700000,1572739199999,1613111.79427000,5389,269598.37100000,908810.64178800,0
1572739200000,3.41900000,3.44500000,3.28500000,3.38300000,497974.61200000,1572825599999,1669919.75494200,4455,202892.10400000,680695.80346500,0
1572825600000,3.37800000,3.65000000,3.32800000,3.61300000,981888.32200000,1572911999999,3458402.32057700,8795,454678.01700000,1602953.81593400,0
1572912000000,3.61400000,3.82400000,3.49900000,3.75600000,1488590.19100000,1572998399999,5456791.68153100,13820,700957.60800000,2573890.95946100,0
1572998400000,3.75700000,3.89400000,3.70000000,3.83500000,867448.18300000,1573084799999,3314535.95098100,10351,431757.54300000,1649184.81130300,0
1573084800000,3.83600000,3.88700000,3.63900000,3.88000000,845413.04500000,1573171199999,3167541.72038900,9719,390456.35000000,1465570.22226800,0
1573171200000,3.87700000,4.05500000,3.65000000,3.80600000,1432501.49900000,1573257599999,5481159.96706700,14338,675549.76900000,2581927.38603900,0
1573257600000,3.81000000,3.98100000,3.79300000,3.96500000,787846.71300000,1573343999999,3065582.32161600,8473,370426.39500000,1440841.87157600,0
1573344000000,3.95900000,4.27900000,3.88300000,4.19200000,1302961.67400000,1573430399999,5352447.99131700,13480,666510.04300000,2744663.04947800,0
1573430400000,4.18900000,4.38100000,4.05000000,4.35300000,1535812.86700000,1573516799999,6468958.83119800,16079,662246.66200000,2789084.19289500,0
1573516800000,4.35400000,4.35400000,4.01100000,4.22800000,1438063.20900000,1573603199999,6001561.29852600,16099,675005.16300000,2815412.02548400,0
1573603200000,4.23000000,4.24000000,3.94000000,3.98600000,845228.01900000,1573689599999,3424288.83379200,10174,382338.35800000,1549637.17364700,0
1573689600000,3.97700000,4.00700000,3.77700000,4.00600000,1050997.14400000,1573775999999,4081119.12645500,9939,449357.12900000,1747713.85379400,0
1573776000000,4.00600000,4.14000000,3.80000000,3.92600000,953092.83800000,1573862399999,3789472.87656900,11696,461286.41900000,1835049.80160400,0
1573862400000,3.92600000,3.97500000,3.82500000,3.96400000,381499.30700000,1573948799999,1485599.17915400,4377,188464.94100000,735067.55061600,0
1573948800000,3.96700000,3.97700000,3.80000000,3.89500000,367735.32200000,1574035199999,1432692.38403800,4641,193793.34400000,755563.20268700,0
1574035200000,3.88800000,3.89600000,3.51100000,3.60600000,1019141.40800000,1574121599999,3761414.00348100,9789,446583.59500000,1650311.77989000,0
1574121600000,3.60600000,3.61600000,3.33500000,3.51900000,1012009.08500000,1574207999999,3498379.09456600,9751,442703.83600000,1530679.46293000,0
1574208000000,3.51900000,3.59000000,3.28600000,3.33400000,1108533.78000000,1574294399999,3791811.91901800,10272,472518.72800000,1617254.42945400,0
1574294400000,3.33400000,3.43200000,3.10000000,3.18900000,882746.14600000,1574380799999,2882309.87847300,9534,418893.14000000,1370174.66381600,0
1574380800000,3.19600000,3.30000000,2.60800000,2.94100000,1729042.03700000,1574467199999,5174072.79063700,15710,835596.69900000,2509477.31809700,0
1574467200000,2.94000000,3.23800000,2.85500000,3.21900000,983732.75100000,1574553599999,3003501.86024100,9236,512471.03900000,1564457.14334100,0
1574553600000,3.21900000,3.27700000,2.98000000,3.08300000,1605636.60700000,1574639999999,5080558.82089600,14147,793538.90200000,2512240.01335000,0
1574640000000,3.09400000,3.53700000,2.98300000,3.39000000,2205486.63500000,1574726399999,7248022.36972700,19598,1082894.52500000,3559718.40575400,0
1574726400000,3.39000000,3.66900000,3.37000000,3.47300000,1430494.23300000,1574812799999,5065258.43206000,13864,682948.40900000,2421597.12966700,0
1574812800000,3.47100000,3.77800000,3.24700000,3.56700000,1980542.91200000,1574899199999,6953633.42754500,17370,999089.95600000,3513966.52323400,0
1574899200000,3.57300000,3.75900000,3.48000000,3.68000000,796521.06700000,1574985599999,2894252.99097400,9098,419841.04800000,1525497.70692100,0
1574985600000,3.68000000,4.11000000,3.66700000,4.01200000,1424071.40800000,1575071999999,5563648.75494300,14263,769467.50600000,3007317.12054800,0
1575072000000,4.00700000,4.09400000,3.81000000,3.92100000,1054703.82400000,1575158399999,4155203.50533600,11461,553584.64200000,2180598.16507300,0
